Ticker,Name,Exchange,categoryName
ADPMF,AD PEPPER MEDIA IN EUR0.05,PNK,
MHGFAD.OL,,,
APGR,"Anpath Group, Inc., Prior to Reverse Merger with Q2Power, Inc.",PNK,
AYO.DE,Abengoa SA,FRA,
NWR.AX,NWR.AX,ASX,
STLFUT.OL,Statoil ASA,OSL,
VISA34F.SA,Visa Inc.,SAO,
5238@OM.KL,,,
SLED.L,The Lebanese Company for the Development and Reconstruction of Beirut Central District S.A.L.,LSE,
E97F.VI,EB OE TL.Z./NTX,VIE,
ASI1.F,ASICS Corporation,FRA,
SMQA,SMSA Ballinger Acquisition Corp.,OBB,
AZZEF,Antares Energy Limited,PNK,
AAA.TO,Allana Potash Corp.,TOR,
AMG.V,AM Gold Inc,VAN,
0175-OL.HK,,,
PACC.L,Prime Active Capital plc.,LSE,
AWKS,"AmeriWorks, Inc.",PNK,
ABOT,Scoobeez Global Inc.,PNK,
IREHF,Integrated Research Limited,PNK,
ACGFF,"Accordia Golf Co., Ltd.",PNK,
KLVI.MU,,,
AKM.V,Kona Bay Technologies Inc.,VAN,
RJET,Republic Airways Holdings Inc.,NMS,
LTHHF,Lithium Power International Limited,PNK,
ALN.V,Power Metals Corp.,VAN,
AQNM,"Aquentium, Inc.",PNK,
UATG,"Umbra Applied Technologies Group, Inc.",PNK,
ADTM,"Adaptive Medias, Inc.",PNK,
TSLB.BE,,,
APC.DE,Apple Inc.,GER,Electronic Equipment
ALH.V,Alhambra Resources Ltd.,VAN,
ARBE,ARBOR ENTECH CORP,PNK,
ARMHF,ARM Holdings plc,PNK,
AFFMQ,"Affirmative Insurance Holdings, Inc.",PNK,
DDAIY,Daimler AG,PNK,
ECO.AX,eChoice Limited,ASX,
ARYX,"ARYx Therapeutics, Inc.",PNK,Drug Manufacturers - Other
PAX.L,Pacific Alliance Asia Opportunity Fund Limited,LSE,
AMU.V,Ashanti Sankofa Inc.,VAN,
AMCO,"Armco Metals Holdings, Inc",PNK,Basic Materials Wholesale
A7L3Z.NX,A7L3Z.NX,ENX,
AHMS,AHMS,PNK,
SFPN.SW,Swiss Finance & Property Investment AG,EBS,
